"X_Y5_1","X_Y5_2","X_Y5_3","X_Y5_4","X_Y5_5","X_age5grp","X_male","X_U5UK","Output","Domain","X_age","X_U5"
1,3,3,2,1,"18-34",1,0.794,0.641150806747589,"13321",1,0.794
1,3,3,2,2,"18-34",1,0.716,0.604280467802601,"13322",1,0.716
1,3,3,2,3,"18-34",1,0.69,0.550606189049538,"13323",1,0.69
1,3,3,2,4,"18-34",1,0.509,0.359235177667442,"13324",1,0.509
1,3,3,2,5,"18-34",1,0.505,0.180929275469226,"13325",1,0.505
1,3,3,3,1,"18-34",1,0.773,0.570719195876141,"13331",1,0.773
1,3,3,3,2,"18-34",1,0.695,0.535186323497178,"13332",1,0.695
1,3,3,3,3,"18-34",1,0.669,0.485004923336792,"13333",1,0.669
1,3,3,3,4,"18-34",1,0.488,0.305041441341243,"13334",1,0.488
1,3,3,3,5,"18-34",1,0.484,0.135196539678526,"13335",1,0.484
1,3,3,4,1,"18-34",1,0.581,0.41072349143285,"13341",1,0.581
1,3,3,4,2,"18-34",1,0.503,0.378689903097254,"13342",1,0.503
1,3,3,4,3,"18-34",1,0.477,0.331049137124399,"13343",1,0.477
1,3,3,4,4,"18-34",1,0.296,0.182596927447916,"13344",1,0.296
1,3,3,4,5,"18-34",1,0.292,0.0426512648496682,"13345",1,0.292
1,3,3,5,1,"18-34",1,0.522,0.318885262667613,"13351",1,0.522
1,3,3,5,2,"18-34",1,0.444,0.296608190470318,"13352",1,0.444
1,3,3,5,3,"18-34",1,0.418,0.237823713739171,"13353",1,0.418
1,3,3,5,4,"18-34",1,0.237,0.0996182429059982,"13354",1,0.237
1,3,3,5,5,"18-34",1,0.233,-0.0281770964596222,"13355",1,0.233
1,3,4,1,1,"18-34",1,0.758,0.607347086720294,"13411",1,0.758
1,3,4,1,2,"18-34",1,0.68,0.585101806741018,"13412",1,0.68
1,3,4,1,3,"18-34",1,0.654,0.514744904217705,"13413",1,0.654
1,3,4,1,4,"18-34",1,0.473,0.343573518175357,"13414",1,0.473
1,3,4,1,5,"18-34",1,0.469,0.189956853169599,"13415",1,0.469
1,3,4,2,1,"18-34",1,0.695,0.613500925688444,"13421",1,0.695
1,3,4,2,2,"18-34",1,0.617,0.580756289720326,"13422",1,0.617
1,3,4,2,3,"18-34",1,0.591,0.524866692026084,"13423",1,0.591
1,3,4,2,4,"18-34",1,0.41,0.341879088887438,"13424",1,0.41
1,3,4,2,5,"18-34",1,0.406,0.172351373275094,"13425",1,0.406
1,3,4,3,1,"18-34",1,0.674,0.523443785640605,"13431",1,0.674
1,3,4,3,2,"18-34",1,0.596,0.499024869007305,"13432",1,0.596
1,3,4,3,3,"18-34",1,0.57,0.437713825072105,"13433",1,0.57
1,3,4,3,4,"18-34",1,0.389,0.270536791011404,"13434",1,0.389
1,3,4,3,5,"18-34",1,0.385,0.119213922083782,"13435",1,0.385
1,3,4,4,1,"18-34",1,0.482,0.265757045491293,"13441",1,0.482
1,3,4,4,2,"18-34",1,0.404,0.25478953876809,"13442",1,0.404
1,3,4,4,3,"18-34",1,0.378,0.188365351478868,"13443",1,0.378
1,3,4,4,4,"18-34",1,0.197,0.0701770074317552,"13444",1,0.197
1,3,4,4,5,"18-34",1,0.193,-0.0360509891207485,"13445",1,0.193
1,3,4,5,1,"18-34",1,0.423,0.105062910748795,"13451",1,0.423
